judge_name	subject_ID	word	feature	done	british
ferragne	123	logs	lot	1	1
ferragne	123	grass	bath	1	-1
ferragne	123	water	flap	1	1
ferragne	123	hotter	rhotic	1	-1
ferragne	124	logs	lot	1	1
ferragne	124	grass	bath	1	-1
ferragne	124	water	flap	1	1
ferragne	124	hotter	rhotic	1	-1
ferragne	125	logs	lot	1	1
ferragne	125	grass	bath	1	-1
ferragne	125	water	flap	1	1
ferragne	125	hotter	rhotic	1	1
ferragne	127	logs	lot	1	-1
ferragne	127	grass	bath	1	-1
ferragne	127	water	flap	1	-1
ferragne	127	hotter	rhotic	1	-1
ferragne	128	logs	lot	1	1
ferragne	128	grass	bath	1	-1
ferragne	128	water	flap	1	1
ferragne	128	hotter	rhotic	1	1
ferragne	131	logs	lot	1	1
ferragne	131	grass	bath	1	-1
ferragne	131	water	flap	1	-1
ferragne	131	hotter	rhotic	1	-1
ferragne	132	logs	lot	1	-1
ferragne	132	grass	bath	1	-1
ferragne	132	water	flap	1	-1
ferragne	132	hotter	rhotic	1	-1
ferragne	134	logs	lot	1	1
ferragne	134	grass	bath	1	-1
ferragne	134	water	flap	1	-1
ferragne	134	hotter	rhotic	1	-1
ferragne	135	logs	lot	1	-1
ferragne	135	grass	bath	1	-1
ferragne	135	water	flap	1	-1
ferragne	135	hotter	rhotic	1	-1
ferragne	136	logs	lot	1	1
ferragne	136	grass	bath	1	-1
ferragne	136	water	flap	1	1
ferragne	136	hotter	rhotic	1	1
ferragne	137	logs	lot	1	1
ferragne	137	grass	bath	1	-1
ferragne	137	water	flap	1	-1
ferragne	137	hotter	rhotic	1	-1
ferragne	139	logs	lot	1	1
ferragne	139	grass	bath	1	1
ferragne	139	water	flap	1	-1
ferragne	139	hotter	rhotic	1	-1
ferragne	140	logs	lot	1	1
ferragne	140	grass	bath	1	-1
ferragne	140	water	flap	1	-1
ferragne	140	hotter	rhotic	1	-1
ferragne	141	logs	lot	1	1
ferragne	141	grass	bath	1	-1
ferragne	141	water	flap	1	1
ferragne	141	hotter	rhotic	1	1
ferragne	143	logs	lot	1	-1
ferragne	143	grass	bath	1	-1
ferragne	143	water	flap	1	-1
ferragne	143	hotter	rhotic	1	-1
ferragne	144	logs	lot	1	1
ferragne	144	grass	bath	1	-1
ferragne	144	water	flap	1	1
ferragne	144	hotter	rhotic	1	-1
ferragne	146	logs	lot	1	1
ferragne	146	grass	bath	1	-1
ferragne	146	water	flap	1	1
ferragne	146	hotter	rhotic	1	-1
ferragne	148	logs	lot	1	-1
ferragne	148	grass	bath	1	-1
ferragne	148	water	flap	1	1
ferragne	148	hotter	rhotic	1	-1
ferragne	149	logs	lot	1	1
ferragne	149	grass	bath	1	-1
ferragne	149	water	flap	1	1
ferragne	149	hotter	rhotic	1	1
ferragne	151	logs	lot	1	-1
ferragne	151	grass	bath	1	-1
ferragne	151	water	flap	1	-1
ferragne	151	hotter	rhotic	1	-1
ferragne	152	logs	lot	1	1
ferragne	152	grass	bath	1	-1
ferragne	152	water	flap	1	-1
ferragne	152	hotter	rhotic	1	-1
ferragne	153	logs	lot	1	1
ferragne	153	grass	bath	1	-1
ferragne	153	water	flap	1	1
ferragne	153	hotter	rhotic	1	-1
ferragne	154	logs	lot	1	1
ferragne	154	grass	bath	1	-1
ferragne	154	water	flap	1	1
ferragne	154	hotter	rhotic	1	1
ferragne	155	logs	lot	1	1
ferragne	155	grass	bath	1	-1
ferragne	155	water	flap	1	1
ferragne	155	hotter	rhotic	1	-1
ferragne	156	logs	lot	1	1
ferragne	156	grass	bath	1	-1
ferragne	156	water	flap	1	-1
ferragne	156	hotter	rhotic	1	-1
ferragne	157	logs	lot	1	1
ferragne	157	grass	bath	1	-1
ferragne	157	water	flap	1	1
ferragne	157	hotter	rhotic	1	1
ferragne	158	logs	lot	1	-1
ferragne	158	grass	bath	1	-1
ferragne	158	water	flap	1	-1
ferragne	158	hotter	rhotic	1	-1
ferragne	159	logs	lot	1	1
ferragne	159	grass	bath	1	-1
ferragne	159	water	flap	1	1
ferragne	159	hotter	rhotic	1	0
ferragne	160	logs	lot	1	1
ferragne	160	grass	bath	1	-1
ferragne	160	water	flap	1	-1
ferragne	160	hotter	rhotic	1	-1
ferragne	161	logs	lot	1	1
ferragne	161	grass	bath	1	0
ferragne	161	water	flap	1	1
ferragne	161	hotter	rhotic	1	-1
ferragne	162	logs	lot	1	1
ferragne	162	grass	bath	1	-1
ferragne	162	water	flap	1	-1
ferragne	162	hotter	rhotic	1	-1
ferragne	163	logs	lot	1	-1
ferragne	163	grass	bath	1	-1
ferragne	163	water	flap	1	-1
ferragne	163	hotter	rhotic	1	-1
ferragne	164	logs	lot	1	1
ferragne	164	grass	bath	1	-1
ferragne	164	water	flap	1	-1
ferragne	164	hotter	rhotic	1	-1
ferragne	165	logs	lot	1	1
ferragne	165	grass	bath	1	-1
ferragne	165	water	flap	1	-1
ferragne	165	hotter	rhotic	1	-1
ferragne	166	logs	lot	1	1
ferragne	166	grass	bath	1	-1
ferragne	166	water	flap	1	-1
ferragne	166	hotter	rhotic	1	-1
ferragne	167	logs	lot	1	-1
ferragne	167	grass	bath	1	-1
ferragne	167	water	flap	1	-1
ferragne	167	hotter	rhotic	1	-1
ferragne	168	logs	lot	1	1
ferragne	168	grass	bath	1	-1
ferragne	168	water	flap	1	1
